Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
Master On-Call: Mechanical Engineering - Van Boerum & Frank,MA-F165-15000165,Closed,Design Professional Master Contract,VS0000005522,MA,102 - Design,Salt Lake City,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,UT,,,Professional Service,,1000000,,
CP0586PESO New Interim Traffic Signal Construction at Pecos Road and Sossaman / JOC,DO-F165-19094814,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,58013.73,0,0,58013.73,06/07/2019 00:00:00,06/05/2019 00:00:00,90,91,AZ,MA-F165-19003186,"New Interim Traffic Signal Construction Pecos and Sossaman, New Interim Traffic Signal Construction Pecos and Sossoman-Funding only",Construction,Job Order Contracting (JOC),58013.73,,
LF0317PD PD Main Sanitary Sewer and Landscape Improvements/Britt Pipeline/DBB,CT-F165-21000070,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000013862,CT,104 - Construction,Scottsdale,F165,239480.96,0,0,239480.96,03/15/2021 00:00:00,01/26/2021 00:00:00,90,140,AZ,,"PD Headquarters Sanitation Line Replacement, PD Headquarters Sanitation Line Replacement-funding only",Construction,Design Bid Build (DBB),0,,
CP0372 Signal Butte Water Treatment Plant Expansion - Black and Veatch Preliminary Design Report,CT-F165-21000114,Approved,Design Professional Services Contract,CNV596655,CT,102 - Design,Kansas City,F165,889166,0,0,889166,06/16/2021 00:00:00,06/16/2021 00:00:00,180,181,MO,,"Signal Butte Water Treatment Plant Phase II Expansion - FUNDING ONLY, Signal Butte WTP Phase II expansion to 48 MGD plus Second 8.75 MG Reservoir",Professional Service,NA,0,,
Soils and Materials Testing On-Call Master Agreement - Quality Testing LLC - Renewal Year 1,MA-F165-21000168R1,Approved,Design Professional Master Contract,VS0000002738,MA,102 - Design,Phoenix,F165,250000,0,0,250000,01/22/2022 00:00:00,01/22/2022 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
CP0580 AZ LABS SES REPLACEMENT - JOC B&F,DO-F165-17008136,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F920,360960.39,0,0,360960.39,,05/02/2017 00:00:00,160,0,AZ,MA-F165-16000376,AZ Labs SES Project Modifications,Construction,Job Order Contracting (JOC),360960.39,,
CP0913 Northeast Public Safety Facility TMCx Solutions,CT-F165-23000034,Approved,Design Professional Services Contract,VS0000012944,CT,102 - Design,Las Vegas,F165,61250,0,0,61250,07/13/2022 00:00:00,07/13/2022 00:00:00,900,901,NV,,"Northeast Public Safety Facility, Northeast Public Safety Facility - FUNDING ONLY",Professional Service,NA,0,,
Master On-Call 2016: Transportation - Sunrise,MA-F165-17000123,Closed,Design Professional Master Contract,CNV417408,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/12/2016 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
LF0396 Broadway Rec Center Structural Repairs SDB/JOC,DO-F165-21003718,Approved,Job Order,CNV673366,DO,120 - Direct Expenses,Tempe,F165,187101.13,0,0,187101.13,01/11/2021 00:00:00,12/09/2020 00:00:00,60,61,AZ,MA-F165-19003215R1,"Broadway Rec Center Structural Repairs - FUNDING ONLY, Broadway Rec Center Structural Repairs (M99-2019-044)",Construction,Job Order Contracting (JOC),0,,
CP0932 Red Mountain Park Expansion Dig Studio - Contract 2,CT-F165-21000037,Approved,Design Professional Services Contract,VS0000009200,CT,102 - Design,Denver,F165,1717048,0,0,1717048,11/02/2020 00:00:00,11/02/2020 00:00:00,540,541,CO,,"Red Mountain Park Expansion, Red Mountain Park Expansion - FUNDING ONLY",Professional Service,NA,0,,
JOC-U19 Job Order Master Agreement HUNTER General Utility,MA-F165-19003235,Approved,Job Order Master,CNV318752,MA,104 - Construction,Gilbert,F165,10000000,913602.69,72807.69,9013589.62,06/24/2019 00:00:00,06/24/2019 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),10000000,,
CP0380CAP Southwest Water Reclamation Plant Locker Room Improvements - Caliente,DO-F165-15010522,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,100316.77,0,0,100316.77,07/20/2015 00:00:00,,45,42,AZ,MA-F165-15000199,Southwest Water Reclamation Plant New Maintenance Bldg Impro,Construction,Job Order Contracting (JOC),104372.81,,
CP0958LS05 Ranier Lift Station Improvements Jensen Engineering Project Order,DO-F165-21001058,Approved,Project Order,CNV385395,PO,102 - Design,Cave Creek,F165,16995,0,0,16995,08/31/2020 00:00:00,08/31/2020 00:00:00,240,241,AZ,MA-F165-19000132R1,"Ranier Lift Station Improvements, Ranier Lift Station Improvements - FUNDING ONLY",Professional Service,NA,0,,
JOC-MP20 Job Order Contract Master: Pueblo Mechanical,MA-F165-21000086,Approved,Job Order Master,VC0000012272,MA,104 - Construction,Tucson,F165,3000000,43191.76,0,2956808.24,09/08/2020 00:00:00,09/08/2020 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
Master On-Call 2016 RENEWAL: Transportation - Dibble,MA-F165-17000124R1,Approved,Design Professional Master Contract,CNV241687,MA,102 - Design,Phoenix,F165,1000000,207345,0,792655,10/13/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0561MP AZ Museum of Natural History Security Upgrades CORE,DO-F165-18001470,Closed,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,62164,0,0,62164,10/16/2017 00:00:00,09/05/2017 00:00:00,45,46,AZ,MA-F165-16000372R1,Museum Project,Construction,Job Order Contracting (JOC),0,,
Master On-Call RENEWAL: General Engineering - EPS Group,MA-F165-15000171R1,Closed,Design Professional Master Contract,CNV668257,MA,102 - Design,Mesa,F165,1000000,0,56627.5,943372.5,10/02/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
CP0279GUAD Guadalupe Rd Landscape Improvements  Talis,CT-F165-16006330,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,252551.91,0,0,252551.91,02/09/2016 00:00:00,02/04/2016 00:00:00,60,0,AZ,MA-F165-13000770Y4,Guadalupe Road Landscaping Improvements,Construction,Job Order Contracting (JOC),0,,
CP1052 idea Museum Atrium Landscape Imp - Valley Rain,DO-F165-22004436,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,30377.07,0,0,30377.07,12/14/2021 00:00:00,12/09/2021 00:00:00,30,31,AZ,MA-F165-20000015R2,"IDEA Museum Atrium - FUNDING ONLY, IDEA Museum Atrium Landscape",Construction,Job Order Contracting (JOC),0,,
Venture Out Drainage CP0818 - Team Fishel,CT-F165-19001203,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV120499,CT,104 - Construction,Phoenix,F165,1256093.84,0,0,1256093.84,05/08/2019 00:00:00,05/06/2019 00:00:00,150,174,AZ,,"Venture Out Drainage, Venture Out Drainage - Funding Only, Venture Out Drainage-Funding Only",Construction,Design Bid Build (DBB),0,,
CP0895 Convention Center SD Upgrade AAA Landscape Job Order,DO-F165-20004077,Approved,Job Order,VC0000042869,DO,104 - Construction,Phoenix,F165,52967.08,0,0,52967.08,01/06/2020 00:00:00,12/12/2019 00:00:00,60,61,AZ,MA-F165-20000013,"Convention Center SD Upgrade, Convention Center SD Upgrade - Funding Only",Construction,Job Order Contracting (JOC),52967.08,,
Master On-Call: Electrical Engineering (A) - ESD,MA-F165-15000206,Closed,Design Professional Master Contract,VS0000001771,MA,102 - Design,Scottsdale,F165,1000000,0,0,1000000,11/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
LF0033CG06 Residential Streets Concrete Repair and Accessible Ramp Installation –G06A (Brown Rd. & Gilbert Rd.) TALIS,DO-F165-18002328,Closed,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,195866.08,0,0,195866.08,,09/20/2017 00:00:00,56,0,AZ,MA-F165-16000375R1,"CONCRETE - Residential Overlay G06A, Residential Overlay G06A Concrete-funding only",Construction,Job Order Contracting (JOC),195866.08,,
CP0491P138 Storm Water Pump Station 138 Rehab - Advantage Consulting Services,CT-F165-22000082,Approved,Design Professional Services Contract,VC0000002135,CT,102 - Design,Mesa,F165,14820,0,0,14820,01/06/2022 00:00:00,01/06/2022 00:00:00,180,181,AZ,,"Pump Station 138, Pump Station 138 - FUNDING ONLY",Professional Service,NA,0,,
CP0345 ITS Radio Communications Upgrade Red Hawk Solutions,CT-F165-16000091,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000007772,CT,104 - Construction,Phoenix,F165,171742.5,0,0,171742.5,01/13/2016 00:00:00,01/13/2016 00:00:00,66,0,AZ,,ITS Radio Communications Upgrades,Construction,Design Bid Build (DBB),0,,
"LF0592CAP MPD Garage Strutural/Wiss, Janney, Elstner Associates, Inc. (WJE)",CT-F165-23000036,Approved,Design Professional Services Contract,VS0000014074,CT,102 - Design,Dallas,F165,6485,0,0,6485,10/13/2022 00:00:00,10/13/2022 00:00:00,90,91,TX,,"MPD Garage Structural - FUNDING ONLY, MPD Garage Structural ""SO""",Professional Service,NA,0,,
202355Ctest4,202355C4,Estimate,CMAR Pre-Construction Services Contract,CNV100013,MA,,Mesa,F165,0,0,0,0,,,0,0,AZ,,2022125Ptest3,Construction,Construction Manager at Risk (CMAR),0,,
CP0102 Fire Station 221 CORE Construction Preconstruction Services Contract,CT-F165-20000044,Approved,CMAR Pre-Construction Services Contract,VS0000002305,CT,102 - Design,Phoenix,F165,48400,0,0,48400,07/17/2019 00:00:00,07/17/2019 00:00:00,300,301,AZ,,"Fire Station 221 Eastmark-Funding only, Fire Station 221: Eastmark",Construction,Construction Manager at Risk (CMAR),0,,
CP0870 NWWRP FOOD TO ENERGY FEASIBILITY STUDY Arcadis,DO-F165-19002142,Approved,Project Order,CNV118419,DO,102 - Design,Chicago,F165,221656,0,0,221656,,09/17/2018 00:00:00,0,0,IL,MA-F165-17000097R1,"Food to Energy Phase 1 - Flare to Fuel, Waste To Energy Project-Funding only",Professional Service,NA,221656,,
CP0554-2 Solomon Bleed Off Line - Talis,DO-F165-17000839,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,539152.09,0,0,539152.09,,07/28/2016 00:00:00,,0,AZ,MA-F165-16000377,2nd Street and Solomon Drainage Imp,Construction,Job Order Contracting (JOC),539152.09,,
"C10376SRHP SKYLINE DRIVE 6"" HIGH PRESSURE GAS LINE, 4"" PE GAS LINE AND REGULATOR STATION DBB Niels Fugal Sons Company",CT-F165-20000043,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000011501,CT,104 - Construction,Pleasant Grove,F165,3974413.88,0,0,3974413.88,07/09/2019 00:00:00,07/08/2019 00:00:00,194,195,UT,,"Skyline HP Gas and Regulator Station - Circle Cross Ranch to Hunt Highway - FUNDING ONLY, Skyline HP Gas and Regulator Station - Circle Cross Ranch to Hunt Highway Master",Construction,Design Bid Build (DBB),0,,
Regulator Station - Greenfield & McDowell Electrical Scada Design CP0076 Jensen Engineering LLC,CT-F165-16000132,Approved,Design Professional Services Contract,CNV385395,CT,102 - Design,Cave Creek,F165,6212,0,0,6212,06/20/2016 00:00:00,06/20/2016 00:00:00,60,61,AZ,,McDowell &amp; Greenfield Regulator Stn,Professional Service,NA,0,,
CP0534-0104 Temple Co-Generation Interconnect Talis Construction/JOC,DO-F165-20006753,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,47324.05,0,0,47324.05,03/19/2020 00:00:00,03/04/2020 00:00:00,210,211,AZ,MA-F165-19003186,"Temple Co-Generation Interconnect, Temple Co-Generation Interconnect - FUNDING ONLY",Construction,Job Order Contracting (JOC),47324.05,,
CP06400003 MAG Meter Replacement at Remote Water Facilities M3 ENG,DO-F165-17006011,Approved,Project Order,VS0000005431,DO,102 - Design,Tucson,F165,6670,0,0,6670,,02/22/2017 00:00:00,45,0,AZ,MA-F165-17000057,Replace Mag Meters at Remote Water Facilities,Professional Service,NA,6670,,
CP0034 BRWTP Improvements Garney CMAR Contract,CT-F165-18000008,Approved,CMAR Construction Services Contract,CNV390275,CT,104 - Construction,Kansas City,F165,3006322.5,0,0,3006322.5,08/02/2017 00:00:00,07/26/2017 00:00:00,335,336,MO,,Brown Rd Wtr Treatmnt Plant Pump Stn Surge Mitigation,Construction,Construction Manager at Risk (CMAR),0,,
CP0108 Stadium Connector Slurry Seal Talis,DO-F165-17009562,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,156140.83,0,0,156140.83,,06/05/2017 00:00:00,30,0,AZ,MA-F165-16000377R1,Stadium Connector,Construction,Job Order Contracting (JOC),156140.83,,
CP0010 GMP 2 Greenfield Park Improvements HUNTER,CT-F165-17000106,Closed,CMAR Construction Services Contract,CNV318752,CT,104 - Construction,Gilbert,F165,2371718.25,0,0,2371718.25,02/08/2017 00:00:00,01/26/2017 00:00:00,230,299,AZ,,"Greenfield Park Urban Fishing Lake, Greenfield Park Urban Fishing Lake ECF Funding Only, Greenfield Park Urban Fishing Lake Funding Only, Greenfield Park Urban Fishing Lake-Streets Funding Only, Greenfield Prk Impv Impact Fees",Construction,Construction Manager at Risk (CMAR),0,,
LF0009 Convention Center HVAC Upgrade Blgs B&C  Pearson,DO-F165-16002209R,Closed,Project Order,VS0000001699,DO,102 - Design,Phoenix,F165,28075,0,0,28075,04/01/2014 00:00:00,,108,0,AZ,MA-F165-15000160,EnviroN. Energy Efficiency Improvem - CONV CTR BLDG B HVAC,Professional Service,,0,,
LF0009CAP Convention Center Bldg B HVAC  Caruso Turley Scott,CT-F165-16000062,Approved,Consultant Standard Terms Contract,VS0000007618,CT,102 - Design,Tempe,F165,8000,0,0,8000,04/01/2014 00:00:00,,73,0,AZ,,EnviroN. Energy Efficiency Improvem - CONV CTR BLDG B HVAC,Professional Service,,0,,
Transportation Job Order Contract Master: MR Tanner JOC-T22,MA-F165-22000304,Approved,Job Order Master,CNV700436,MA,104 - Construction,Gilbert,F165,10000000,539154,0,9460846,06/23/2022 00:00:00,06/23/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0067 CAPGreenfield Wastewater Reclamation Plant Expansion,CT-F165-16000066,Approved,CMAR Pre-Construction Services Contract,CNV38482,CT,102 - Design,Phoenix,F165,1232783,0,0,1232783,11/09/2015 00:00:00,,670,0,AZ,,Greenfield Wastewater Reclamation Plant Expansion,Construction,Construction Manager at Risk (CMAR),0,,
CP0946 CoHoots at Benedictine University - Adaptive Architects Project Order,DO-F165-20005245,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F165,138325,0,0,138325,01/06/2020 00:00:00,01/06/2020 00:00:00,180,181,AZ,MA-F165-19000167R1,"CO+HOOTS at Benedictine, CO+HOOTS at Benedictine - FUNDING ONLY",Professional Service,NA,138325,,
14000205,MA-F165-14000205,Approved,Design Professional Master Contract,VS0000000998,MA,,Chicago,F165,1000000,0,0,1000000,12/22/2011 00:00:00,06/10/2014 00:00:00,,0,IL,,,Professional Service,,1000000,,
LF0089-162 Storm Drain Pump Station 162 Rehab Felix Construction Job Order,DO-F165-17001771,Approved,Job Order,CNV159034,DO,120 - Direct Expenses,Coolidge,F165,487766.89,0,0,487766.89,,09/06/2016 00:00:00,270,0,AZ,MA-F165-14000500R2,"Pump Station #162 Repairs - FUNDING ONLY, Pump Station #162 Repairs Master",Construction,Job Order Contracting (JOC),487766.89,,
CP0121 Signal Butte Park Valley Rain CMAR Contract,CT-F165-19001204,Closed,CMAR Construction Services Contract,MAR222550210,CT,104 - Construction,Tempe,F165,3365521.78,0,0,3365521.78,05/21/2019 00:00:00,05/16/2019 00:00:00,210,281,AZ,,"Signal Butte &amp; Elliot Development - PKB FUNDING ONLY, Signal Butte &amp; Elliot Development-Water FUNDING ONLY, Signal Butte &amp; Elliot Medians - FUNDING ONLY, Signal Butte Park - Phase 1",Construction,Construction Manager at Risk (CMAR),0,,
CP0688 Gene Autry Park Clubhouse Improvements - SDB Contracting Job Order,DO-F165-22001965,Approved,Job Order,CNV673366,DO,104 - Construction,Tempe,F165,146397.6,0,0,146397.6,10/20/2021 00:00:00,09/21/2021 00:00:00,90,91,AZ,MA-F165-19003215R2,"CP0688 Gene Autry Clubhouse Improvments - Master, Gene Autry Clubhouse Septic System Abandonment - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
"CP0898GN17 GWRP UPS Replacement Rosendin Electric, Inc. Job Order",DO-F165-21009337,Approved,Job Order,VS0000006927,DO,104 - Construction,San Jose,F165,372741.65,0,0,372741.65,08/09/2021 00:00:00,07/13/2021 00:00:00,180,275,CA,MA-F165-21000129,"Greenfield WRP UPS Replacements, UPS Replacements - FUNDING ONLY",Construction,Job Order Contracting (JOC),372741.65,,
LF0033H08D Residential Street Overlays-Quater Section,DO-F165-14007158,Approved,Job Order,CNV570044,DO,,Tempe,F165,500962.32,0,0,500962.32,,06/10/2014 00:00:00,,0,AZ,,Residential Street Overlays-Quarter Section H08D,Construction,Job Order Contracting (JOC),485119.5,,
Master On-Call RENEWAL: Wastewater Facilities - Black & Veatch,MA-F165-15000130R1,Closed,Design Professional Master Contract,CNV596655,MA,102 - Design,Kansas City,F165,1000000,457930,0,542070,10/02/2015 00:00:00,,,0,MO,,,Professional Service,,1000000,,
CP0823BR05 BRWTP Chlorine Generator Rehab - Black and Veatch,DO-F165-21006836,Approved,Project Order,CNV596655,DO,102 - Design,Kansas City,F165,176962,0,0,176962,04/01/2021 00:00:00,04/01/2021 00:00:00,450,451,MO,MA-F165-21000088,"BRWTP Sodium Chlorite &amp; Chlorine Dioxide Generator Rehab, BRWTP Sodium Chlorite &amp; Chlorine Dioxide Generator Rehab - FUNDING ONLY",Professional Service,NA,176962,,
CP0880 Studios at Mesa City Center GMP 1 - Okland Construction CMAR Contract,CT-F165-21000030,Approved,CMAR Construction Services Contract,VC0000043649,CT,104 - Construction,Tempe,F165,191679.06,0,0,191679.06,10/09/2020 00:00:00,10/08/2020 00:00:00,90,91,AZ,,"The Studios at Mesa City Center, The Studios at Mesa City Center - Funding Only",Construction,Construction Manager at Risk (CMAR),0,,
CP0450-0011 Main Street/74th Street Pedestrian Upgrades Talis Construction Job Order,DO-F165-17007817,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,239402.36,0,0,239402.36,,04/18/2017 00:00:00,90,0,AZ,MA-F165-16000375,"Traffic Signals Main&amp;74PEDUPGRD, Traffic Signals Main&amp;74PEDUPGRD Master, Traffic Signals New and Upgrades FY14-15 POM",Construction,Job Order Contracting (JOC),239402.36,,
CP0969 Ellsworth Road Widening - Olsson Design,CT-F165-23000019,Approved,Design Professional Services Contract,CNV655767,CT,102 - Design,Lincoln,F165,845143,0,0,845143,08/10/2022 00:00:00,08/10/2022 00:00:00,0,0,NE,,"Ellsworth Road Widening, Ellsworth Road Widening - FUNDING ONLY",Professional Service,NA,0,,
CP1015 Ellsworth and Williams Field Road Intersection Imp - Nesbitt Contracting,DO-F165-22002568,Approved,Job Order,CNV462756,DO,104 - Construction,Tempe,F165,1815677.16,0,0,1815677.16,10/07/2021 00:00:00,10/06/2021 00:00:00,120,149,AZ,MA-F165-19003185R2,"Ellsworth and Williams Field Intersection Improvements and Gateway Blvd., Ellsworth W/F Intersection Improvements &amp; Spine Rd - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
Master On-Call 2016: Transportation - AMEC Foster Wheeler,MA-F165-17000119,Closed,Design Professional Master Contract,CNV86614,MA,102 - Design,Chicago,F165,1000000,138410,0,861590,10/12/2016 00:00:00,,0,0,IL,,,Professional Service,NA,0,,
Master On-Call 2018: Electric UTILITY T&D Engineering Design - Vanderweil,MA-F165-19000175,Approved,Design Professional Master Contract,VS0000004891,MA,102 - Design,Boston,F165,1000000,152780,0,847220,01/08/2019 00:00:00,,0,0,MA,,,Professional Service,NA,0,,
CP0116CAP Falcon Field Recoating Tank - DO 14008781,DO-F165-14008781,Approved,Job Order,VC0000002111,DO,,Phoenix,F165,368168.96,0,0,368168.96,05/13/2014 00:00:00,06/10/2014 00:00:00,110,0,AZ,,Water Tower Renovations and Upgrades,Construction,Job Order Contracting (JOC),368168.96,,
"CP0634BR19 BRWTP Fiber Loop, PLC and MCC Replacements - Sturgeon CMAR",CT-F165-23000015,Approved,CMAR Construction Services Contract,CNV72346,CT,104 - Construction,Chicago,F165,3233697.24,0,0,3233697.24,08/02/2022 00:00:00,07/27/2022 00:00:00,250,251,IL,,"BRWTP City &amp; SCADA Fiber Loops, PLC &amp; MCCs, BRWTP City &amp; SCADA Fiber Loops, PLC &amp; MCCs - FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
